trialNumber,checkTrial,gainValue,lossValue,safeValue,choiceMade,choiceKey,outcomeValue,location,riskSplitLocation,gainLocation,lossLocation,safeLocation,hideGainLocation,hideLossLocation,instructionStart,instructionEnd,choiceStart,choiceEnd,isiStart,isiEnd,outcomeStart,outcomeEnd,itiStart,itiEnd,bestRho,bestMu
,,,,,,,,,,,,,,,0.009239100007107481,1.5347536000044784,,,,,,,,,,
,,,,,,,,,,,,,,,1.539290800006711,2.9353870000049938,,,,,,,,,,
1,,18.23,0,9.45,,,,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,2.9739163000049302,,6.992294800002128,8.005375000007916,8.026475900012883,9.027289900011965,9.043571800008067,12.04543260000355,,
2,,53.27,0,35.16,,,,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,12.061212700005854,,16.081125800003065,17.088320700000622,17.097420600010082,18.105065700001433,18.113930000006803,21.62347590000718,,
3,,8.27,0,1.15,,,,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,21.649009400003706,,25.6672394000052,26.668571500005783,26.68692840001313,27.69103470000846,27.7018892000051,30.70272180000029,,
4,,45.88,0,40.41,,,,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,30.720801800009212,,34.739618600011454,35.75344500000938,35.77367850000155,36.7761051000125,36.78968080000777,40.29296400000749,,
5,,21.56,0,11.96,,,,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,40.30890530000033,,44.32672650000313,45.33739570000034,45.34326890000375,46.35762940000859,46.380297800002154,49.384960000010324,,
,,,,,,,,,,,,,,,49.395773800002644,81.73168989999976,,,,,,,,,,
1,0,12.08,0,5.96,,,,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,81.76458440000715,,85.78092040000774,86.79047610000998,86.79760040000838,87.79991000000155,87.81480690000171,91.32555250001315,,
2,0,25.20,0,5.40,,,,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,91.34920100000454,,95.36810780000815,96.3805057000136,96.38527860000613,97.38958300001104,97.402519700001,100.9080285000091,,
3,0,18.33,0,8.84,,,,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,100.92146870000579,,104.94374470000912,105.95535610000661,105.9739319000073,106.98254940001061,106.9905407000042,110.49450310000975,,
4,0,19.28,0,8.36,,,,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,110.5088751000003,,114.52926050001406,115.54279960000713,115.56185270000424,116.56620900001144,116.57957990000432,120.08440790000896,,
5,0,16.26,0,9.87,,,,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,120.11307340000349,,124.13342620000185,125.143390000012,125.14972960000159,126.15584970000782,126.16712010001356,129.67107080000278,,
