0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
trialNumber,checkTrial,gainValue,lossValue,safeValue,choiceMade,choiceKey,outcomeValue,location,riskSplitLocation,gainLocation,lossLocation,safeLocation,hideGainLocation,hideLossLocation,instructionStart,instructionEnd,choiceStart,choiceEnd,isiStart,isiEnd,outcomeStart,outcomeEnd,itiStart,itiEnd,bestRho,bestMu
,,,,,,,,,,,,,,,0.010431200003949925,1.7210481999936746,,,,,,,,,,
,,,,,,,,,,,,,,,1.7413500999973621,2.599331899997196,,,,,,,,,,
1,,18.23,0,9.45,1,n,0,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,2.6244868999929167,3.74584240000695,3.7593565999995917,4.7722250999941025,4.796666900001583,,5.827563500002725,8.839350499998545,,
2,,53.27,0,35.16,1,v,53.27,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,8.861022800003411,9.883546900004148,9.894173499997123,10.908253300003707,10.927811999994447,,11.94619600000442,15.446822500001872,,
3,,8.27,0,1.15,,,,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,15.464450300001772,,19.48202389999642,20.492782999994233,20.499890599996434,,21.51701919999323,24.51971209999465,,
4,,45.88,0,40.41,1,n,0,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,24.535925000003772,25.566173900006106,25.585107699997025,26.592559900003835,26.60224439999729,,27.619682899996405,31.122843999997713,,
5,,21.56,0,11.96,1,v,0,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,31.138567000001785,32.27204719999281,32.289046599995345,33.29613210000389,33.30519450000429,,34.32338430000527,37.334350999997696,,
,,,,,,,,,,,,,,,37.34117109999352,39.385000199996284,,,,,,,,,,
1,0,19.86,0,8.07,,,,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,39.4086621000024,,43.427279800002,44.430297900005826,44.444833300003665,,45.461358999993536,48.46975659999589,,
2,0,28.21,0,3.89,1,n,0,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,48.4794882999995,48.96789699999499,48.9805117000069,49.994940799995675,50.01420089999738,,51.03161390000605,54.032818899999256,,
3,0,12.08,0,5.96,1,v,0,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,54.04961099999491,54.59265839999716,54.599247999998624,55.60397379999631,55.61647829999856,,56.63387000000512,59.64273510000203,,
4,1,6.79,0,9.92,1,n,0,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,59.668271400005324,60.152570100006415,60.168514399993,61.18376280000666,61.203313699996215,,62.22044679999817,65.2282997000002,,
5,0,12.68,0,5.66,1,v,12.68,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,65.25475920000463,65.66426000000502,65.67222930000571,66.67719200000283,66.68839700000535,,67.71066480000445,70.71174969999993,,
